Country,Population,Area,Density
China,1427647786,9596961,149
India,1352642280,3287263,411
United States,327096265,9629091,34
Indonesia,267670543,1910931,140
Pakistan,212228286,796095,267
Brazil,209469323,8514877,25
Nigeria,195874685,923768,212
Bangladesh,161376708,147570,1094
Russia,145734038,17098246,9
Japan,127202192,377930,337
Mexico,126190788,1964375,64
Ethiopia,109224414,1104300,99
Philippines,106651394,300000,356
Egypt,98423598,1002000,98
Vietnam,95545962,330957,289
DR Congo,84068091,2344858,36
Germany,83124418,357137,233
Turkey,82340088,783562,105
Iran,81800188,1628750,50
Thailand,69428453,513120,135
United Kingdom,67141684,242495,277
France,64990511,551500,118
Italy,60627291,301339,201
South Africa,57792518,1221037,47
Tanzania,56313438,947303,59
Myanmar,53708320,676578,79
Kenya,51392565,591958,87
South Korea,51171706,100148,511
Colombia,49661048,1141748,43
Spain,46692858,505992,92
Argentina,44361150,2780400,16
Ukraine,44246156,603500,73
Uganda,42729036,241550,177
Algeria,42228408,2381741,18
Sudan,40782742,1861484,22
Iraq,38433600,435244,88
Poland,37921592,311888,122
Afghanistan,37171921,652864,57
Canada,37064562,9984670,4
Morocco,36029093,446550,81
Saudi Arabia,33702756,2206714,15
Uzbekistan,32476244,447400,73
Peru,31989260,1285216,25
Malaysia,31528033,330803,95
Angola,30809787,1246700,25
Ghana,29767102,238533,125
Mozambique,29496004,801590,37
Venezuela,28887118,912050,32
Yemen,28498683,527968,54
Nepal,28095714,147181,191
Madagascar,26262313,587295,45
North Korea,25549604,120538,212
Cameroon,25216267,475650,53
Ivory Coast,25069230,322463,78
Australia,24898152,7692024,3
Taiwan,23604265,36193,652
Niger,22442831,1267000,18
Sri Lanka,21228763,65610,324
Burkina Faso,19751466,272967,72
Romania,19506114,238391,82
Mali,19077749,1240192,15
Chile,18729160,756102,25
Kazakhstan,18319618,2724900,7
Malawi,18143217,118484,153
Zambia,17351708,752612,23
Guatemala,17247849,108889,158
Ecuador,17084358,256369,67
Netherlands,17059560,37354,457
Syria,16945057,185180,92
Cambodia,16249792,181035,90
Senegal,15854323,196712,81
Chad,15477729,1284000,12
Somalia,15008226,637657,24
Zimbabwe,14438802,390757,37
South Sudan,12778250,644329,20
Guinea,12414293,245857,50
Rwanda,12301970,26338,467
Tunisia,11565201,163610,71
Benin,11485044,114763,100
Belgium,11482178,30528,376
Bolivia,11353142,1098581,10
Cuba,11338134,109884,103
Burundi,11175374,27834,402
Haiti,11123178,27750,401
Czech Republic,10665677,78866,135
Dominican Republic,10627141,48192,221
Greece,10522246,131957,80
Portugal,10256193,92212,111
Sweden,9971638,450295,22
Jordan,9965318,89328,112
Azerbaijan,9949537,86600,115
Hungary,9707499,93026,104
United Arab Emirates,9630959,83600,115
Honduras,9587522,112492,85
Belarus,9452617,207600,46
Tajikistan,9100835,143100,64
Austria,8891388,83871,106
Serbia,8802754,88361,100
Papua New Guinea,8606323,462840,19
Switzerland,8525611,41285,207
Israel,8381516,22072,380
Togo,7889093,56785,139
Sierra Leone,7650150,72300,106
Hong Kong,7371730,1104,6677
Laos,7061507,236800,30
Bulgaria,7051608,110900,64
Paraguay,6956066,406752,17
Lebanon,6859408,10452,656
Libya,6678559,1759540,4
Nicaragua,6465501,130373,50
El Salvador,6420746,21041,305
Kyrgyzstan,6304030,199949,32
Turkmenistan,5850901,488100,12
Singapore,5757499,716,8041
Denmark,5752126,43094,133
Finland,5522576,336852,16
Slovakia,5453014,49036,111
Norway,5337962,323787,16
Congo,5244359,342000,15
Costa Rica,4999441,51100,98
Palestine,4862979,6020,808
Oman,4829473,309500,16
Liberia,4818973,111369,43
Ireland,4818690,69825,69
New Zealand,4743131,270467,18
Central African Republic,4666368,622984,7
Mauritania,4403313,1030700,4
Panama,4176869,75417,55
Croatia,4156405,56594,73
Kuwait,4137312,17818,232
Moldova,4051944,33846,120
Georgia,4002942,69700,57
Somaliland,3508180,176120,20
Eritrea,3452786,117600,29
Uruguay,3449285,176215,20
Bosnia and Herzegovina,3323925,51209,65
Mongolia,3170216,1564116,2
Puerto Rico,3039596,8870,343
Armenia,2951745,29743,99
Jamaica,2934847,10991,267
Albania,2882740,28748,100
Lithuania,2801264,65300,43
Qatar,2781682,11607,240
Namibia,2448301,824268,3
Gambia,2280094,11295,202
Botswana,2254068,582000,4
Gabon,2119275,267668,8
Lesotho,2108328,30355,69
North Macedonia,2082957,25713,81
Slovenia,2077837,20273,102
Latvia,1928459,64562,30
Guinea-Bissau,1874303,36125,52
Kosovo,1795666,10887,165
Bahrain,1501635,785,1913
Trinidad and Tobago,1389843,5130,271
Estonia,1322920,45227,29
Equatorial Guinea,1308975,28051,47
East Timor,1267974,14919,85
Mauritius,1267185,1969,644
Cyprus,1189265,9251,129
Eswatini (Swaziland),1136281,17363,65
Djibouti,958923,23200,41
Fiji,883483,18272,48
Réunion,882526,2513,351
Comoros,832322,2235,372
Guyana,779006,214969,4
Bhutan,754388,38394,20
Solomon Islands,652857,28896,23
Macau,631636,30,21055
